Gene,CellType
Slc5a7,CHI
Ecel1,CHI
Slc17a8,CHI
Chat,CHI
Slc10a4,CHI
Trpc3,CHI
Cpne4,CHI
Tacr1,CHI
Zic1,CHI
Clstn2,CHI
Chrm2,CHI
Tacr3,CHI
Ntrk1,CHI
Elfn1,CHI
Slc18a3,CHI
Nrip3,CHI
Gm4980,CHI
Kcnt2,CHI
Adcy2,CHI
C130060K24Rik,CHI
Ndnf,CHI
Lhx8,CHI
Tshz2,CHI
Tnfaip8l3,CHI
Drd5,CHI
Crabp2,CHI
Pde3a,CHI
Sphkap,CHI
Syt13,CHI
Cpne7,CHI
Gdnf,CHI
Grin3a,CHI
Ufsp1,CHI
Dscam,CHI
Rgs6,CHI
Tshz3,CHI
Asic2,CHI
Homer2,CHI
Sez6l,CHI
C530008M17Rik,CHI
Ccdc136,CHI
Ptchd4,CHI
Bcat1,CHI
Glra2,CHI
Mxra7,CHI
Hspb8,CHI
Oprd1,CHI
Camk2n2,CHI
Chml,CHI
Ctif,CHI
Mmgt2,CHI
Prima1,CHI
Vat1,CHI
Penk,Canonical_MSN
Pcp4,Canonical_MSN
Nrgn,Canonical_MSN
Scn4b,Canonical_MSN
Ppp1r1b,Canonical_MSN
Hpca,Canonical_MSN
Calm2,Canonical_MSN
Car11,Canonical_MSN
Adcy5,Canonical_MSN
Gpr88,Canonical_MSN
Pde1b,Canonical_MSN
Arpp19,Canonical_MSN
Pde10a,Canonical_MSN
Kcnip2,Canonical_MSN
Rgs9,Canonical_MSN
Nsg2,Canonical_MSN
Gng7,Canonical_MSN
Lzts3,Canonical_MSN
Spock3,Canonical_MSN
Ncdn,Canonical_MSN
Aldoa,Canonical_MSN
Ptpn5,Canonical_MSN
Gm42418,Canonical_MSN
Cnr1,Canonical_MSN
Pkm,Canonical_MSN
Calm1,Canonical_MSN
Tmem158,Canonical_MSN
Gapdh,Canonical_MSN
AY036118,Canonical_MSN
Rap1gap,Canonical_MSN
Itm2c,Canonical_MSN
Adora2a,Canonical_MSN
C1qtnf4,Canonical_MSN
Arf3,Canonical_MSN
