p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1	0	4.58017327279894	0.942	0.003	0	Endothelial Cells	Flt1
2	0	4.50478543187836	0.906	0.003	0	Endothelial Cells	Slco1a4
3	0	3.82365800117676	0.793	0.005	0	Endothelial Cells	Rgs5
4	0	3.81507662280501	0.851	0.002	0	Endothelial Cells	Adgrl4
5	0	3.7970437926424	0.871	0.005	0	Endothelial Cells	Mecom
6	0	3.75718919206696	0.861	0.026	0	Endothelial Cells	Slc2a1
7	0	3.72823465563455	0.783	0.012	0	Endothelial Cells	Itm2a
8	0	3.54962859976147	0.828	0.036	0	Endothelial Cells	Ccdc141
9	0	3.40785312902892	0.828	0.013	0	Endothelial Cells	Ptprb
10	2.68313366935836e-283	4.25716031548839	0.932	0.238	6.62170558260949e-279	Endothelial Cells	Bsg
11	0	5.27513856917948	0.892	0.018	0	SST/NPY IN	Sst
12	0	4.98756054028432	0.857	0.018	0	SST/NPY IN	Npy
13	0	4.26527026878966	0.977	0.276	0	SST/NPY IN	Sox2ot
14	0	4.21603382484619	0.939	0.121	0	SST/NPY IN	Gm38505
15	0	4.00570177803089	0.983	0.105	0	SST/NPY IN	Sox6
16	0	3.72870171850457	0.883	0.012	0	SST/NPY IN	Nos1
17	0	3.66372090635617	0.91	0.028	0	SST/NPY IN	Tacr1
18	0	3.04457551940874	0.671	0.021	0	SST/NPY IN	Hhip
19	3.43592630443207e-245	3.07035738000146	0.953	0.341	8.4795225267079e-241	SST/NPY IN	Col25a1
20	2.40682557214866e-209	3.00383106078754	0.98	0.539	5.93980482950568e-205	SST/NPY IN	Ptprt
21	0	4.61756685872863	0.986	0.123	0	CHI	Cpne4
22	0	4.08390768339838	0.932	0.056	0	CHI	Trpc3
23	0	3.68613598210547	0.986	0.213	0	CHI	Inpp4b
24	0	3.58615649824997	0.989	0.229	0	CHI	Elavl2
25	0	3.56727393049819	0.948	0.027	0	CHI	Tacr1
26	0	3.42830414643344	0.986	0.286	0	CHI	Kcnt2
27	0	3.35668683616039	0.926	0.016	0	CHI	Slc5a7
28	0	3.13160895424226	0.978	0.325	0	CHI	Slc7a14
29	1.25995010721769e-275	3.25454965678975	0.975	0.369	3.10943086960253e-271	CHI	Clstn2
30	2.97602743094562e-235	3.36678480937059	1	0.737	7.34453809683069e-231	CHI	Asic2
31	0	3.12053440595443	0.738	0.079	0	Microglia	Hexb
32	0	2.44426351072007	0.724	0.059	0	Microglia	Tgfbr1
33	0	2.42432505966264	0.7	0.012	0	Microglia	Inpp5d
34	0	2.37174479835336	0.649	0.061	0	Microglia	Lrmda
35	0	2.03365406537045	0.559	0.054	0	Microglia	Mertk
36	0	1.90587012906314	0.508	0.011	0	Microglia	Apbb1ip
37	0	1.8914491788871	0.552	0.029	0	Microglia	Ikzf1
38	3.43879046490155e-251	2.64072705252304	0.918	0.322	8.48659098833054e-247	Microglia	Plxdc2
39	1.81822548208472e-234	2.0626324140976	0.753	0.193	4.48719866723689e-230	Microglia	Pde3b
40	7.7785630900859e-99	2.12416043608935	0.554	0.183	1.9196715850023e-94	Microglia	Cst3
41	0	3.24736564773389	0.983	0.133	0	Car3 ExN	Cadps2
42	0	3.12916740312109	0.994	0.248	0	Car3 ExN	Pcdh15
43	0	2.98958825054445	0.902	0.117	0	Car3 ExN	Zfp804b
44	0	2.90378029867856	0.958	0.121	0	Car3 ExN	Cpne4
45	0	2.85316852584488	0.964	0.236	0	Car3 ExN	Tmem132d
46	0	2.64957821035648	0.88	0.124	0	Car3 ExN	Gm15398
47	0	2.60064896670934	0.878	0.046	0	Car3 ExN	Ntng2
48	0	2.5970328533706	0.99	0.297	0	Car3 ExN	Unc5d
49	0	2.59486412417407	0.996	0.537	0	Car3 ExN	Ptprt
50	0	2.55151976969286	0.824	0.05	0	Car3 ExN	Col11a1
51	0	4.69098607310691	0.988	0.251	0	Pthlh IN	Il1rapl2
52	0	4.48580186158607	0.977	0.11	0	Pthlh IN	Nxph1
53	0	4.02767908573692	0.991	0.292	0	Pthlh IN	Erbb4
54	0	3.79553125343817	0.991	0.711	0	Pthlh IN	Grip1
55	0	3.56828751748609	0.983	0.247	0	Pthlh IN	Pcdh15
56	0	3.20580832636114	0.87	0.122	0	Pthlh IN	Gm15398
57	0	2.81060233183459	0.988	0.463	0	Pthlh IN	Astn2
58	0	2.8073051909249	0.828	0.031	0	Pthlh IN	Egfr
59	0	2.79987677021662	0.919	0.129	0	Pthlh IN	Cntnap4
60	0	2.73185158644639	0.823	0.033	0	Pthlh IN	Pde3a
61	0	3.25564499968203	0.985	0.591	0	Polydendrocytes (NG2 Cells)	Tnr
