Endothelial Cell,Astrocyte,Microglia,Oligodendrocyte,OPC
Vwf,Aldh1l1,Cx3cr1,Mbp,Cspg4
Cldn5,Gja1,Csf1r,Mog,Pdgfra
Abcb1,Adgrv1,Tmem119,Mobp,Tcf7l2
Ebf1,Gpc5,Itgam,Plp1,Ptprz1
Itm2a,Aqp4,C1qb,Olig2,C1ql1
Tie1,Sdc4,Ly86,Cldn11,Vcan
Flt1,Aldh1a1,Runx1,Tspan2,Bmp4
Notch3,Sox9,P2ry12,Serinc5,Neu4
Cxcl12,Slc1a2,Fcrls,Opalin,Tnr
Pecam1,Tnc,Entpd1,Mal,Tns3
Foxq1,Gfap,Siglech,Dock5,Fyn
Tbx3,Slc1a3,Ccr5,Hapln2,Itpr2
Cavin2,Slc1a2,Cd33,Apod,Bcas1
Cp,Glul,Gpr34,Aspa,Rras
Mgp,Slc38a3,Tgfb1,Carns1,Cnksr3
Tm4sf1,Gldc,Tgfbr1,Nkx6-2,Gpr17
Slc38a5,Hibadh,Serinc3,Cercam,Tmem100
Anpep,Serhl,Mertk,Tfeb,
Itgb1,Prodh,Spi1,Klk6,
Cd34,Apoe,Mef2a,Pmp22,
Cd93,Eci1,Ctsd,,
Icam2,Eci2,Trem2,,
Eng,Gk,,,
Il1r1,Cpt1a,,,
Prom1,,,,
Thbd,,,,
Cdh5,,,,
Bsg,,,,
Cd151,,,,
Cd248,,,,
Kdr,,,,
Emcn,,,,
Esam,,,,
Itga4,,,,
Klf4,,,,
Podxl,,,,
Thsd1,,,,
Tie1,,,,
Egfl7,,,,
